Symbol;Year;stockPrice;Sector;numberOfShares;cashAndCashEquivalents;shortTermInvestments;netReceivables;inventory;otherCurrentAssets;propertyPlantEquipmentNet;goodwill;intangibleAssets;longTermInvestments;otherNonCurrentAssets;accountPayables;shortTermDebt;longTermDebt;deferredRevenueNonCurrent;taxPayables;deferredRevenue;otherCurrentLiabilities;deferredTaxLiabilitiesNonCurrent;otherLiabilities;capitalLeaseObligations;preferredStock;commonStock;accumulatedOtherComprehensiveIncomeLoss;othertotalStockholdersEquity;revenue;costOfRevenue;researchAndDevelopmentExpenses;generalAndAdministrativeExpenses;sellingAndMarketingExpenses;sellingGeneralAndAdministrativeExpenses;operatingExpenses;costAndExpenses;interestIncome;depreciationAndAmortization;operatingIncome;operatingIncomeRatio;ebitdaratio;incomeBeforeTaxRatio;netIncomeRatio;epsdiluted;Column1
ATVI;2013;17,83;4;1024000000;4410000000;21000000;515000000;171000000;1124000000;138000000;7092000000;497000000;9000000;35000000;355000000;25000000;4668000000;0;0;1389000000;636000000;20000000;0;0;0;0;68000000;3868000000;4583000000;1531000000;584000000;490000000;606000000;1096000000;1680000000;3211000000;5000000;58000000;315000000;1372000000;0,299367227;0,369190487;0,287802749;0,220379664;0,98
ATVI;2012;10,62;4;1112000000;3959000000;416000000;707000000;209000000;983000000;141000000;7106000000;660000000;8000000;11000000;343000000;0;0;0;0;1657000000;652000000;25000000;0;0;0;0;-26000000;9450000000;4856000000;1662000000;604000000;561000000;578000000;1139000000;1743000000;3405000000;6000000;1000000;328000000;1451000000;0,298805601;0,367998353;0,300247117;0,236614498;1,03
ADM;2018;40,97;5;559000000;1997000000;6000000;3844000000;8813000000;5928000000;9953000000;2496000000;1545000000;5324000000;927000000;3545000000;690000000;7698000000;0;98000000;5129000000;2412000000;1067000000;0;0;0;2560000000;-2106000000;0;64341000000;60160000000;0;0;0;2165000000;2165000000;62325000000;162000000;364000000;941000000;2016000000;0,031333054;0,052221756;0,03201691;0,028131363;3,19
ADM;2017;40,08;5;557000000;804000000;0;3762000000;9173000000;6186000000;10138000000;2374000000;1544000000;5180000000;802000000;3894000000;870000000;6623000000;0;0;5762000000;2044000000;1053000000;0;0;0;2398000000;-1637000000;0;60828000000;57322000000;0;0;0;1993000000;1993000000;59315000000;106000000;330000000;924000000;1513000000;0,024873414;0,046952062;0,026451634;0,026221477;2,79
ADM;2016;45,65;5;573000000;619000000;296000000;4405000000;8831000000;6894000000;9758000000;2246000000;1457000000;4684000000;579000000;3606000000;427000000;6504000000;0;0;6223000000;2917000000;1669000000;0;0;0;2327000000;-2598000000;0;62346000000;58662000000;0;0;0;2045000000;2045000000;60707000000;92000000;293000000;900000000;1639000000;0,026288776;0,048214801;0,029224008;0,020514548;2,16
ADM;2015;36,68;5;595000000;910000000;438000000;4660000000;8243000000;7578000000;9853000000;2185000000;1503000000;4340000000;447000000;3474000000;98000000;5779000000;0;0;6972000000;2961000000;1563000000;0;0;0;3180000000;-2146000000;0;67702000000;63682000000;0;0;0;2010000000;2010000000;65692000000;71000000;308000000;882000000;2010000000;0,029688931;0,051357419;0,033736079;0,027310862;2,98
ADM;2014;52;5;637000000;1099000000;515000000;4638000000;9374000000;10402000000;9960000000;2010000000;1273000000;4377000000;379000000;4326000000;132000000;5558000000;0;0;5874000000;5270000000;1662000000;0;0;0;5115000000;-1241000000;0;81201000000;76433000000;0;0;0;1907000000;1907000000;78340000000;92000000;337000000;894000000;2861000000;0,035233556;0,05364466;0,038546323;0,027684388;3,43
ADM;2013;43,4;5;659000000;3121000000;433000000;5098000000;11441000000;8437000000;10137000000;562000000;197000000;3848000000;478000000;4513000000;1523000000;5347000000;0;0;4832000000;4790000000;1448000000;0;0;0;6136000000;-57000000;0;89804000000;85915000000;0;0;0;1759000000;1759000000;87674000000;102000000;413000000;909000000;2130000000;0,02371832;0,037125295;0,022537972;0,014943655;2,02
ADM;2012;29,52;5;659000000;1291000000;176000000;3439000000;12192000000;9856000000;9812000000;603000000;0;4184000000;0;2474000000;3785000000;6535000000;0;0;0;8367000000;783000000;0;0;0;0;-907000000;6102000000;89038000000;85370000000;0;0;0;1626000000;1626000000;86996000000;112000000;441000000;848000000;2042000000;0,022934028;0,03408657;0,019822997;0,013735708;1,84
ADBE;2018;250,89;3;490564000;1642775000;1586187000;1315578000;0;312499000;1075072000;10581048000;2069001000;0;186522000;186258000;0;4124800000;137630000;93234000;2915974000;1105660000;46702000;0;0;0;61000;-148130000;-2305414000;9030008000;1194999000;1537812000;744898000;2620829000;3365727000;4994640000;6189639000;92540000;89242000;346492000;2840369000;0,314547783;0,357653061;0,309399061;0,286907166;5,2
ADBE;2017;179,52;3;493632000;2306072000;3513702000;1217968000;0;210071000;936976000;5821561000;385658000;0;143548000;113538000;0;1881421000;88592000;63746000;2405950000;944223000;279941000;0;0;0;61000;-111821000;-1002241000;7301505000;1010491000;1224059000;624706000;2197592000;2822298000;4122919000;5133410000;66069000;74402000;325997000;2168095000;0,296938097;0,347605049;0,292767176;0,232000663;3,38
ADBE;2016;99,73;3;498345000;1011315000;3749985000;833033000;0;245441000;816264000;5406474000;414405000;80439000;149758000;88024000;0;1902068000;69131000;81475000;1945619000;696517000;217660000;0;0;0;61000;-173602000;-516141000;5854430000;819908000;975987000;577710000;1910197000;2487907000;3542428000;4362336000;47340000;70442000;331535000;1493602000;0,255123385;0,313799123;0,245137101;0,199640614;2,32
ADBE;2015;92,17;3;498764000;876560000;3111524000;672006000;0;161802000;787421000;5366881000;510007000;80439000;159832000;93307000;0;1907231000;51094000;34161000;1434200000;651888000;208209000;0;0;0;61000;-169080000;-82832000;4795511000;744317000;862730000;531919000;1683242000;2215161000;3146540000;3890857000;28759000;64184000;339473000;903095000;0,188320911;0,266382039;0,182208111;0,131279232;1,24
ADBE;2014;73,68;3;497867000;1117400000;2622091000;591800000;0;271037000;785123000;4721962000;469662000;80439000;126315000;68377000;603229000;911086000;57401000;48578000;1097923000;676328000;342315000;0;0;0;61000;-8094000;-140356000;4147065000;622080000;844353000;543332000;1652308000;2195640000;3092417000;3714497000;21355000;59732000;313590000;412685000;0,099512547;0,177160956;0,087140182;0,064719265;0,5
ADBE;2013;56,78;3;501372000;834556000;2339196000;599820000;0;272357000;659774000;4771981000;605254000;207239000;90121000;62096000;14676000;1499297000;53268000;28447000;775544000;644885000;375634000;0;17945000;0;61000;46103000;-250494000;4055240000;586557000;826631000;520124000;1620454000;2140578000;3019463000;3606020000;21887000;67508000;321227000;422723000;0,104241179;0,183682347;0,087822422;0,071508715;0,56
ADBE;2012;34,61;3;494731000;1425052000;2113301000;617233000;0;175774000;664302000;4133259000;545036000;207239000;93327000;49759000;11217000;1496938000;58102000;76050000;561463000;573263000;265106000;0;12843000;0;61000;30712000;-368594000;4403677000;483782000;742823000;434982000;1516159000;1951141000;2742621000;3226403000;24549000;67487000;299766000;1180191000;0,268001263;0,337455949;0,254059051;0,18910901;1,66
ADP;2018;134,14;1;440600000;2170000000;0;1984200000;0;27895800000;793000000;2243500000;886400000;0;1115800000;135400000;0;2002400000;377800000;43900000;226500000;30007800000;107300000;0;0;0;63900000;-680800000;-11194800000;13325800000;7842600000;0;2971500000;0;2971500000;2971500000;10814100000;83500000;102700000;377600000;2045200000;0,153476714;0,198967417;0,162924552;0,12162872;3,66
ADP;2017;102,46;1;447800000;2780400000;0;1703600000;0;28174700000;779000000;1741000000;620200000;0;1381100000;149700000;0;2002400000;391400000;49000000;232900000;29384300000;163100000;0;0;0;63900000;-379200000;-10435900000;12379800000;7269800000;0;2783200000;0;2783200000;2783200000;10053000000;76700000;80000000;316100000;1929400000;0,15585066;0,2364497;0,20445403;0,140018417;3,85
ADP;2016;91,87;1;457000000;3191100000;23500000;1742800000;0;34543000000;685000000;1682000000;534200000;7800000;1260600000;152300000;0;2007700000;381100000;28200000;233200000;35433700000;251100000;0;0;0;63900000;-215100000;-9370500000;11667800000;6840300000;0;2637000000;0;2637000000;2637000000;9477300000;62400000;56200000;288600000;1813200000;0,155402047;0,221001388;0,191527109;0,127916145;3,25
ADP;2015;80,23;1;472600000;1639300000;26600000;1546900000;0;25596400000;672000000;1793500000;503200000;28900000;1303700000;194500000;0;9200000;362700000;27200000;228600000;26663400000;172100000;0;0;0;63900000;-260600000;-8455100000;10938500000;6427600000;0;2496900000;0;2496900000;2496900000;8924500000;56900000;6500000;277900000;1636300000;0,149590895;0,22225168;0,189303835;0,132787859;3,05
ADP;2014;69,6049;1;478900000;1983600000;2032200000;1800400000;0;20017200000;777000000;3113800000;632300000;54100000;1641100000;169700000;2173000000;11500000;513200000;20400000;332600000;21212300000;288800000;0;0;0;63900000;178200000;-7204800000;12206500000;7221400000;0;2762400000;0;2762400000;2762400000;9983800000;56200000;6100000;336200000;1849000000;0,151476672;0,215475361;0,186343342;0,124187933;3,14
